date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:19:44	386/386	---MC-	200	added ('OK')	text/plain	date:Tue,%2025%20Mar%202025%2014:19:45%20GMT	https://celigcr.com/robots.txt		(from )
08:19:45	253161/253161	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Mar%202025%2014:19:45%20GMT	https://celigcr.com/	D:/Programacion/celig/celigcr.com/index.html	(from )
08:19:45	23778/23778	---M-Z	200	added ('OK')	text/css	etag:%225ce2-60a9ee9a0bd40-gzip%22	https://celigcr.com/wp-content/plugins/trx_addons/css/font-icons/css/trx_addons_icons.css	D:/Programacion/celig/celigcr.com/wp-content/plugins/trx_addons/css/font-icons/css/trx_addons_icons.css	(from https://celigcr.com/)
08:19:46	39142/39142	---M-Z	200	added ('OK')	text/css	etag:%2298e6-60a9ee9ce8400-gzip%22	https://celigcr.com/wp-content/themes/invetex/skins/default/css/font-icons/css/fontello.css	D:/Programacion/celig/celigcr.com/wp-content/themes/invetex/skins/default/css/font-icons/css/fontello.css	(from https://celigcr.com/)
08:19:46	33600/33600	---MC-	200	added ('OK')	application/rss+xml	etag:%22afb5d8d56fecece53a58fd9015f4856e%22	https://celigcr.com/feed/	D:/Programacion/celig/celigcr.com/feed/index.html	(from https://celigcr.com/)
08:19:46	1591/1591	---M-Z	200	added ('OK')	text/css	etag:%22637-63090567c944a-gzip%22	https://celigcr.com/wp-content/plugins/click-to-chat-for-whatsapp/new/inc/assets/css/main.css?ver=4.19	D:/Programacion/celig/celigcr.com/wp-content/plugins/click-to-chat-for-whatsapp/new/inc/assets/css/mainaaac.css	(from https://celigcr.com/)
08:19:46	1794/1794	---MC-	200	added ('OK')	application/rss+xml	etag:%22afb5d8d56fecece53a58fd9015f4856e%22	https://celigcr.com/comments/feed/	D:/Programacion/celig/celigcr.com/comments/feed/index.html	(from https://celigcr.com/)
08:19:46	2894/2894	---M-Z	200	added ('OK')	text/css	etag:%22b4e-63099d74d897f-gzip%22	https://celigcr.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.0.5	D:/Programacion/celig/celigcr.com/wp-content/plugins/contact-form-7/includes/css/styles52c7.css	(from https://celigcr.com/)
08:19:47	5156/5156	---M-Z	200	added ('OK')	text/css	etag:%221424-60a9ee98238c0-gzip%22	https://celigcr.com/wp-content/plugins/trx_addons/js/magnific/magnific-popup.min.css	D:/Programacion/celig/celigcr.com/wp-content/plugins/trx_addons/js/magnific/magnific-popup.min.css	(from https://celigcr.com/)
08:19:47	18143/18143	---M-Z	200	added ('OK')	text/css	etag:%2246df-63099db7e716d-gzip%22	https://celigcr.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=9.7.1	D:/Programacion/celig/celigcr.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout04d4.css	(from https://celigcr.com/)
08:19:47	7527/7527	---M-Z	200	added ('OK')	text/css	etag:%221d67-63099db7e716d-gzip%22	https://celigcr.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=9.7.1	D:/Programacion/celig/celigcr.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen04d4.css	(from https://celigcr.com/)
08:19:47	85777/85777	---M-Z	200	added ('OK')	text/css	etag:%2214f11-63099db7e716d-gzip%22	https://celigcr.com/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=9.7.1	D:/Programacion/celig/celigcr.com/wp-content/plugins/woocommerce/assets/css/woocommerce04d4.css	(from https://celigcr.com/)
08:19:47	2279/2279	---M-Z	200	added ('OK')	text/css	etag:%228e7-63099db7e522c-gzip%22	https://celigcr.com/wp-content/plugins/woocommerce/assets/css/brands.css?ver=9.7.1	D:/Programacion/celig/celigcr.com/wp-content/plugins/woocommerce/assets/css/brands04d4.css	(from https://celigcr.com/)
08:19:48	316631/316631	---M-Z	200	added ('OK')	text/css	etag:%224d4d7-6309056e476c9-gzip%22	https://celigcr.com/wp-content/plugins/trx_addons/css/__styles.css	D:/Programacion/celig/celigcr.com/wp-content/plugins/trx_addons/css/__styles.css	(from https://celigcr.com/)
08:19:48	3600/3600	---M-Z	200	added ('OK')	text/css	etag:%22e10-60a9ee98238c0-gzip%22	https://celigcr.com/wp-content/plugins/trx_addons/components/widgets/custom_links/custom_links.css	D:/Programacion/celig/celigcr.com/wp-content/plugins/trx_addons/components/widgets/custom_links/custom_links.css	(from https://celigcr.com/)
08:19:48	34421/34421	---M-Z	200	added ('OK')	text/css	etag:%228675-60a9ee98238c0-gzip%22	https://celigcr.com/wp-content/plugins/trx_addons/components/api/woocommerce/woocommerce.css	D:/Programacion/celig/celigcr.com/wp-content/plugins/trx_addons/components/api/woocommerce/woocommerce.css	(from https://celigcr.com/)
